date,product,store,quantity
2020-06-07,114,5,2
2020-05-25,106,7,8
2020-02-05,108,3,7
2020-03-10,111,2,9
2020-03-06,109,3,2
2020-04-13,110,6,6
2020-01-20,114,2,9
2020-03-17,103,7,5
2020-05-26,102,3,7
2020-05-15,112,1,6
2020-04-23,104,7,1
2020-03-29,110,3,8
2020-05-15,103,4,5
2020-01-23,106,3,6
2020-05-30,102,7,7
2020-03-28,104,6,2
2020-04-01,103,5,8
2020-04-18,108,2,2
2020-05-31,113,1,4
2020-01-04,104,2,8
2020-04-05,101,3,2
2020-03-09,105,7,9
2020-04-13,111,4,5
2020-03-04,113,2,1
2020-01-03,113,5,2
2020-04-08,103,3,7
2020-05-12,112,4,1
2020-06-26,109,4,4
2020-01-18,107,7,5
2020-06-06,112,1,3
2020-05-22,101,7,3
2020-02-18,115,7,3
2020-01-18,107,5,2
2020-02-05,103,2,8
2020-02-24,105,2,6
2020-03-20,106,2,2
2020-03-25,109,3,9
2020-02-01,109,4,8
2020-06-18,110,1,2
2020-03-30,104,4,7
2020-01-18,101,5,6
2020-01-27,115,6,1
2020-05-07,107,2,8
2020-05-22,114,5,9
2020-02-15,101,6,6
2020-01-30,108,6,1
2020-05-06,110,6,8
2020-04-04,102,6,2
2020-01-21,103,3,9
2020-06-17,102,5,8
